Time Diff,Reading,Average,ac,AC_Max,Current,Time,
1,03_10__17_18_56,0.0,0.0,2.48,0.0,0.0,0.0,
1,03_10__17_18_56,0.012588,2.475,2.47975,0.004750000000000032,0.004750000000000032,0.0745085000000005,
1,03_10__17_18_56,0.004584,2.475,2.4795125000000002,0.004512500000000141,0.003750000000000032,0.0588225000000005,
1,03_10__17_18_56,0.004499,2.475,2.479286875,0.004286875000000023,0.004286875000000023,0.06724392125000037,
1,03_10__17_18_56,0.004522,2.475,2.47907253125,0.0040725312499998445,0.0032868750000000233,0.05155792125000037,
1,03_10__17_18_56,0.004499,2.475,2.4788689046875,0.0038689046874997857,0.0038689046874997857,0.06068763892812164,
1,03_10__17_18_56,0.004485,2.475,2.478675459453125,0.003675459453124752,0.0028689046874997856,0.04500163892812164,
1,03_10__17_18_56,0.0045,2.475,2.4784916864804685,0.003491686480468381,0.003491686480468381,0.054770594132627026,
1,03_10__17_18_56,0.004513,2.475,2.478317102156445,0.0033171021564450953,0.002491686480468381,0.03908459413262703,
1,03_10__17_18_56,0.007056,2.475,2.478151247048623,0.003151247048622796,0.003151247048622796,0.04943046120469718,
1,03_10__17_18_56,0.004525,2.475,2.477993684696192,0.0029936846961917674,0.002151247048622796,0.03374446120469718,
1,03_10__17_18_56,0.004492,2.475,2.477844000461382,0.0028440004613821124,0.0028440004613821124,0.044610991237239814,
1,03_10__17_18_56,0.004453,2.475,2.477701800438313,0.002701800438313029,0.0018440004613821124,0.028924991237239815,
1,03_10__17_18_56,0.004437,2.475,2.4775667104163976,0.002566710416397555,0.002566710416397555,0.04026141959161205,
1,03_10__17_18_56,0.004429,2.475,2.477438374895578,0.002438374895577855,0.0015667104163975551,0.02457541959161205,
1,03_10__17_18_56,0.00445,2.475,2.477316456150799,0.0023164561507988957,0.0023164561507988957,0.036335931181431476,
1,03_10__17_18_56,0.004462,2.475,2.477200633343259,0.0022006333432589287,0.0013164561507988956,0.020649931181431477,
1,03_10__17_18_56,0.004474,2.475,2.477090601676096,0.0020906016760959822,0.0020906016760959822,0.03279317789124158,
1,03_10__17_18_56,0.004427,2.475,2.4769860715922913,0.0019860715922912497,0.0010906016760959822,0.017107177891241578,
1,03_10__17_18_56,0.004429,2.475,2.476886768012677,0.0018867680126768427,0.0018867680126768427,0.029595843046848955,
